#Based on 30% of a loops with <11-20> and 70% of a loops with <10-10> habit planes
#        
#References
#----------
#L. Balogh et al., Contrast factors of irradiation-induced dislocation loops in hexagonal materials
#        
#ellipticity	Chk0al	alaL	a2aL
0.05	0.17421	0.51147	-0.19108
0.1	0.17617	0.48051	-0.19709
0.1667	0.18115	0.39753	-0.20912
0.2	0.1841	0.34862	-0.2155
0.25	0.1889	0.27209	-0.22506
0.3333	0.19728	0.14461	-0.24002
0.5	0.21423	-0.08622	-0.26496
0.6667	0.22979	-0.2726	-0.28347
0.75	0.23678	-0.35014	-0.29074
1	0.2551	-0.53316	-0.30703
1.5	0.28089	-0.75509	-0.32479
2	0.29712	-0.87793	-0.33359
2.5	0.3078	-0.95297	-0.33845
3	0.31521	-1.00239	-0.34145
3.5	0.32055	-1.03688	-0.34344
4	0.32452	-1.06186	-0.34473
4.5	0.32752	-1.08073	-0.34576
5	0.32989	-1.09531	-0.34647
6	0.33333	-1.11597	-0.34743
7	0.33563	-1.12979	-0.34807
8	0.3373	-1.13966	-0.34855
9	0.3385	-1.147	-0.34888
10	0.3395	-1.15271	-0.34913
12	0.3409	-1.16097	-0.34944
14	0.3418	-1.16651	-0.34963
16	0.3425	-1.17039	-0.34974
18	0.3429	-1.17304	-0.34982
20	0.3432	-1.175	-0.34985
